id	key	title	text	once	input_text	choices	failure	extinct
27	love_thuth9	Merci Darling, je t'aime.	Mon amour, si tu ne désamorce pas cette bombe, je t'arrache la tête.%n Bon maintenant dépêche-toi !%n*clac*			3,4,17		10
28	kevin_hello		Salut ça fait longtemps que tu ne m'avais pas appellé, la forme ?	true		29,30,35,36	18	
29	kevin_whatsup1	Ça va et toi ?	Bah pas terrible en fait.%nCe matin je me suis reveillé et j'avais mal au bide.%nDu coup je suis allé aux chiottes et là...%n	true		38		
30	kevin_thruth1	Je suis en face d'une bombe là.	Ha ouais, mais je croyais que tu étais casé. Tu as encore le temps de trainer avec des bombes ?	true		31		
31	kevin_thruth2	Pas de style de bombe. Une vrai bombe... nucléaire.	Arrête de dire des conneries haha.			32		
32	kevin_thruth3	Non mais vraiment...	C'est bon, arrête de me faire marcher.%nTu ne m'auras pas avec cette blague débile !			33,34		
33	kevin_thruth4	Mais...	Pas de mais !			29,30,35,36		
34	kevin_thruth5	Tu as raison, je déconnais !	Hé oui, je suis trop malin pour me faire avoir.			29,30,35,36		
35	kevin_say	Dire quelque chose...	Vous lui dites :		true	tacos=42	37	
36	kevin_hangout	Raccrocher	Bon Kev' je dois te laisser!%,*clac*			3,4,17		29
37	kevin_wtf		Hein ?! Tu as bu quelque chose ou bien ?			29,30,35,36		
38	kevin_whatsup2	Non arrête ça devient dégueux là...	Non t'inquiète ! Donc je disais : je suis allé aux chiottes et j'ai tapé mon petit orteil dans le coin de la porte.			39		
39	kevin_whatsup3	Aïe...	Et c'est pas tout ! Du coup je saute à cloche pied et là je glisse sur le tapis des chiottes.			40		
40	kevin_whatsup4	Sans déconner !	Oui. Et c'est à ce moment-là que je me suis chié dessus.			41		
41	kevin_whatsup5	Dégueux !	Je ne te le fais pas dire, j'ai passé 30 minutes à nettoyer, vu que j'avais la chiasse.%nVoilà, à part ça, ça va sinon.			29,30,35,36		
42	kevin_tacos		Ha oui pas con, on ira en manger un avec Bastien un de ces quatre.	true		29,30,35,36	37	
